simTime,e2Detector_Ai_1_0/JamLengthVehicle,e2Detector_Ai_1_0/LastStepVehicleNumber,e2Detector_Ai_1_0/LastStepHaltingNumber,e2Detector_Ai_1_0/LastStepMeanSpeed,e2Detector_Ai_1_0/LastStepOccupancy,e2Detector_Bi_1_1/JamLengthVehicle,e2Detector_Bi_1_1/LastStepVehicleNumber,e2Detector_Bi_1_1/LastStepHaltingNumber,e2Detector_Bi_1_1/LastStepMeanSpeed,e2Detector_Bi_1_1/LastStepOccupancy,e2Detector_Ci_1_2/JamLengthVehicle,e2Detector_Ci_1_2/LastStepVehicleNumber,e2Detector_Ci_1_2/LastStepHaltingNumber,e2Detector_Ci_1_2/LastStepMeanSpeed,e2Detector_Ci_1_2/LastStepOccupancy,e2Detector_Di_1_3/JamLengthVehicle,e2Detector_Di_1_3/LastStepVehicleNumber,e2Detector_Di_1_3/LastStepHaltingNumber,e2Detector_Di_1_3/LastStepMeanSpeed,e2Detector_Di_1_3/LastStepOccupancy
38.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
38.2,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
38.5,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
38.8,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
39.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
39.2,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
39.5,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
39.8,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
40.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
40.2,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
40.5,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
40.8,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
41.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
41.2,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
41.5,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
41.8,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
42.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
42.2,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
42.5,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
42.8,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0,0,0,0,-1.0,0.0
